Column Names,CID,SMILES
8-bromo-cGMP,135419186,C1C2C(C(C(O2)N3C4=C(C(=O)NC(=N4)N)N=C3Br)O)OP(=O)(O1)O
nifurtimox,6842999,CC1CS(=O)(=O)CCN1N=CC2=CC=C(O2)[N+](=O)[O-]
balaglitazone,9889200,CN1C(=NC2=CC=CC=C2C1=O)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4
flutrimazole,3401,C1=CC=C(C=C1)C(C2=CC=C(C=C2)F)(C3=CC=CC=C3F)N4C=CN=C4
KBG,6917960,C1C2C(C(C(C(O2)O)O)O)OC(O1)C3=CC=CC=C3
otenzepad,107867,CCN(CC)CC1CCCCN1CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4
biperiden,2381,C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O
zaltoprofen,5720,CC(C1=CC2=C(C=C1)SC3=CC=CC=C3C(=O)C2)C(=O)O
noretynodrel,6231,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3CCC(=O)C4
dyphylline,3182,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O
alprenolol,2119,CC(C)NCC(COC1=CC=CC=C1CC=C)O
azelnidipine,65948,CC1=C(C(C(=C(N1)N)C(=O)OC2CN(C2)C(C3=CC=CC=C3)C4=CC=CC=C4)C5=CC(=CC=C5)[N+](=O)[O-])C(=O)OC(C)C
WB-4101,5685,COC1=C(C(=CC=C1)OC)OCCNCC2COC3=CC=CC=C3O2
cleviprex,153994,CCCC(=O)OCOC(=O)C1=C(NC(=C(C1C2=C(C(=CC=C2)Cl)Cl)C(=O)OC)C)C
chlormadinone-acetate,9324,CC(=O)C1(CCC2C1(CCC3C2C=C(C4=CC(=O)CCC34C)Cl)C)OC(=O)C
bupivacaine,2474,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
prednisolone-acetate,5834,CC(=O)OCC(=O)C1(CCC2C1(CC(C3C2CCC4=CC(=O)C=CC34C)O)C)O
naftopidil,4418,COC1=CC=CC=C1N2CCN(CC2)CC(COC3=CC=CC4=CC=CC=C43)O
FK-33-824,101981638,CC(C(=O)NCC(=O)N(C)C(CC1=CC=CC=C1)C(=O)NC(CCS(=O)C)CO)NC(=O)C(CC2=CC=C(C=C2)O)N
nitrendipine,4507,CCOC(=O)C1=C(NC(=C(C1C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OC)C)C
betamethasone,9782,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
meptazinol,41049,CCC1(CCCCN(C1)C)C2=CC(=CC=C2)O
cilnidipine,5282138,CC1=C(C(C(=C(N1)C)C(=O)OCC=CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OCCOC
betaxolol,2369,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
lofexidine,30668,CC(C1=NCCN1)OC2=C(C=CC=C2Cl)Cl
alizapride,135413504,COC1=CC2=C(C=C1C(=O)NCC3CCCN3CC=C)NN=N2
mepivacaine,4062,CC1=C(C(=CC=C1)C)NC(=O)C2CCCCN2C
ICI-89406,123686,C1=CC=C(C=C1)NC(=O)NCCNCC(COC2=CC=CC=C2C#N)O
XL888,57748689,CCC(C)NC1=C(C=C(C(=C1)C(=O)NC2CC3CCC(C2)N3C4=NC=C(C=C4)C(=O)C5CC5)C)C(=O)N
metoprolol,4171,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O
bismuth-subcitrate-potassium,155903697,C1C(=O)O[Bi](OC(=O)C1(CC(=O)O)O)OC(=O)CC(CC(=O)O)(C(=O)O)O
methscopolamine,71183,C[N+]1(C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4)C
piricapiron,2772320,CC1(C2CCC1(C(=O)N(C2=O)CCCCN3CCN(CC3)C4=CC=CC=N4)C)C
eperisone,3236,CCC1=CC=C(C=C1)C(=O)C(C)CN2CCCCC2
isoprenaline,3779,CC(C)NCC(C1=CC(=C(C=C1)O)O)O
synephrine,7172,CNCC(C1=CC=C(C=C1)O)O
maraviroc,3002977,CC1=NN=C(N1C2CC3CCC(C2)N3CCC(C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C
trilostane,656583,CC12CCC3C(C1CCC2O)CCC45C3(CC(=C(C4O5)O)C#N)C
stepronin,54120,CC(C(=O)NCC(=O)O)SC(=O)C1=CC=CS1
chlorphenamine,2725,CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
2-PMDQ,4367545,C1CN(CCN1CC2CN3C(=C4C=CC=CC4=NC3=O)N2)C5=CC=CC=C5
bupropion,444,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
lisofylline,501254,CC(CCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C)O
erdosteine,65632,C1CSC(=O)C1NC(=O)CSCC(=O)O
telmesteine,65946,CCOC(=O)N1CSCC1C(=O)O
CPCCOEt,6278000,CCOC(=O)C12CC1C(=NO)C3=CC=CC=C3O2
lappaconite,90479327,CCN1CC2(CCC(C34C2CC(C31)C5(CC(C6CC4C5(C6OC)O)OC)O)OC)OC(=O)C7=CC=CC=C7NC(=O)C
terfenadine,5405,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O
SB-218078,3387354,C1CC2N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N(C1O2)C7=C53)C(=O)NC6=O
hydroquinidine,91503,CCC1CN2CCC1CC2C(C3=C4C=C(C=CC4=NC=C3)OC)O
diclazuril,456389,C1=CC(=CC=C1C(C#N)C2=C(C=C(C=C2Cl)N3C(=O)NC(=O)C=N3)Cl)Cl
monensin,441145,CCC1(CCC(O1)C2(CCC3(O2)CC(C(C(O3)C(C)C(C(C)C(=O)O)OC)C)O)C)C4C(CC(O4)C5C(CC(C(O5)(CO)O)C)C)C
CPI-613,24770514,C1=CC=C(C=C1)CSCCC(CCCCC(=O)O)SCC2=CC=CC=C2
